Title,Link,Snippet,DisplayLink,Event Type,Event Date,Venue,Language,Price Range,Keywords,Region,Category,Source,Event Name,Event Details
Poster of concerts and events in Baku 2024,https://tickets-az.com/en/baku/events,Poster of concerts and events in Baku for 2024 year. Schedule and convenient calendar of the nearest events of the city. Buy tickets for concerts in Baku ...,tickets-az.com,Other,,,English,,"Poster, of, concerts, and, events",Baku,General,tickets-az.com,Poster of concerts and events in Baku 2024,Poster of concerts and events in Baku for 2024 year. Schedule and convenient calendar of the nearest events of the city. Buy tickets for concerts in Baku ...
"Tickets to the Anime & Comics Cosplay Festival in Baku, June 30 ...",https://tickets-az.com/en/baku/events/254798,"Jun 30, 2024 ... Ticket sales for Anime & Comics Cosplay June 30, 2024 at Nizami Kino (Cinema Center) (Baku). Buy online on the website, booking and delivery ...",tickets-az.com,Anime & Comics Cosplay Festival,"Jun 30, 2024",Nizami Kino ,English,,"Jun, 30,, 2024, ..., Ticket",Baku,General,tickets-az.com,"Tickets to the Anime & Comics Cosplay Festival in Baku, June 30 ...","Jun 30, 2024 ... Ticket sales for Anime & Comics Cosplay June 30, 2024 at Nizami Kino (Cinema Center) (Baku). Buy online on the website, booking and delivery ..."
"Tickets for the Sarışınlar Party in Baku, September 29, 2024 — buy ...",https://tickets-az.com/en/baku/events/271652,"Sep 29, 2024 ... Ticket sales for Sarışınlar Party September 29, 2024 at East Town (Baku). Buy online on the website, booking and delivery +971 502 173 856.",tickets-az.com,Other,"Sep 29, 2024",East Town ,English,,"Sep, 29,, 2024, ..., Ticket",Baku,General,tickets-az.com,"Tickets for the Sarışınlar Party in Baku, September 29, 2024 — buy ...","Sep 29, 2024 ... Ticket sales for Sarışınlar Party September 29, 2024 at East Town (Baku). Buy online on the website, booking and delivery +971 502 173 856."
Tickets for the concert “Mahnı24 ulduzların hit paradı” in Baku ...,https://tickets-az.com/en/baku/events/260584,"Sep 1, 2024 ... Ticket sales for Mahnı24 ulduzların hit paradı September 1, 2024 at Baku Music Academy (Baku). Buy online on the website, ...",tickets-az.com,Other,"Sep 1, 2024",Baku Music Academy ,English,,"Sep, 1,, 2024, ..., Ticket",Baku,General,tickets-az.com,Tickets for the concert “Mahnı24 ulduzların hit paradı” in Baku ...,"Sep 1, 2024 ... Ticket sales for Mahnı24 ulduzların hit paradı September 1, 2024 at Baku Music Academy (Baku). Buy online on the website, ..."
Tickets for the concert Estrada - Symphonic Orchestra in Baku ...,https://tickets-az.com/en/baku/events/278044,"Nov 11, 2024 ... Ticket sales for Estrada - Symphonic Orchestra November 11, 2024 at Rashid Beybutov Azerbaijan State Song Theater (Baku).",tickets-az.com,Other,"Nov 11, 2024",Rashid Beybutov Azerbaijan State Song Theater ,English,,"Nov, 11,, 2024, ..., Ticket",Baku,General,tickets-az.com,Tickets for the concert Estrada - Symphonic Orchestra in Baku ...,"Nov 11, 2024 ... Ticket sales for Estrada - Symphonic Orchestra November 11, 2024 at Rashid Beybutov Azerbaijan State Song Theater (Baku)."
"Epi Come Back concert tickets in Baku, June 22, 2024 — buy online",https://tickets-az.com/en/baku/events/248714,"Ticket sales for Epi Come Back June 22, 2024 at Hayal Kahvesi 1992 (Baku). Buy online on the website, booking and delivery +971 502 173 856.",tickets-az.com,Other,"June 22, 2024",Hayal Kahvesi ,English,,"Ticket, sales, for, Epi, Come",Baku,General,tickets-az.com,"Epi Come Back concert tickets in Baku, June 22, 2024 — buy online","Ticket sales for Epi Come Back June 22, 2024 at Hayal Kahvesi 1992 (Baku). Buy online on the website, booking and delivery +971 502 173 856."
"Tickets for the EPI concert in Baku, October 25, 2024 — buy online",https://tickets-az.com/en/baku/events/272105,"Oct 25, 2024 ... Ticket sales for EPI October 25, 2024 at East Town (Baku). Buy online on the website, booking and delivery +971 502 173 856.",tickets-az.com,Other,"Oct 25, 2024",East Town ,English,,"Oct, 25,, 2024, ..., Ticket",Baku,General,tickets-az.com,"Tickets for the EPI concert in Baku, October 25, 2024 — buy online","Oct 25, 2024 ... Ticket sales for EPI October 25, 2024 at East Town (Baku). Buy online on the website, booking and delivery +971 502 173 856."
Tickets for the multimedia show “Hogwarts in Baku” Harry Potter in ...,https://tickets-az.com/en/baku/events/207089,"Nov 26, 2023 ... Ticket sales for Harry Potter ""Hogwarts in Baku"" November 26, 2023 at Zenit cafe&bar (Baku). Buy online on the website, booking and delivery ...",tickets-az.com,Other,"Nov 26, 2023",Zenit cafe,English,,"Nov, 26,, 2023, ..., Ticket",Baku,General,tickets-az.com,Tickets for the multimedia show “Hogwarts in Baku” Harry Potter in ...,"Nov 26, 2023 ... Ticket sales for Harry Potter ""Hogwarts in Baku"" November 26, 2023 at Zenit cafe&bar (Baku). Buy online on the website, booking and delivery ..."
"Simge Sağın concert tickets in Baku, February 24, 2024 — buy online",https://tickets-az.com/en/baku/events/229793,"Feb 24, 2024 ... Ticket sales for Simge Sağın February 24, 2024 at Baku Congress Center (Baku). Buy online on the website, booking and delivery +971 502 173 ...",tickets-az.com,Other,"Feb 24, 2024",Baku Congress Center ,English,,"Feb, 24,, 2024, ..., Ticket",Baku,General,tickets-az.com,"Simge Sağın concert tickets in Baku, February 24, 2024 — buy online","Feb 24, 2024 ... Ticket sales for Simge Sağın February 24, 2024 at Baku Congress Center (Baku). Buy online on the website, booking and delivery +971 502 173 ..."
"Sagopa Kajmer Concert Tickets in Baku, October 21, 2023 — buy ...",https://tickets-az.com/en/baku/events/183174,"Oct 21, 2023 ... Ticket sales for Sagopa Kajmer October 21, 2023 at Hayal Kahvesi 1992 (Baku). Buy online on the website, booking and delivery +971 502 173 ...",tickets-az.com,Other,"Oct 21, 2023",Hayal Kahvesi ,English,,"Oct, 21,, 2023, ..., Ticket",Baku,General,tickets-az.com,"Sagopa Kajmer Concert Tickets in Baku, October 21, 2023 — buy ...","Oct 21, 2023 ... Ticket sales for Sagopa Kajmer October 21, 2023 at Hayal Kahvesi 1992 (Baku). Buy online on the website, booking and delivery +971 502 173 ..."
